from,to,year
LaAh,u30,2016
LiHe,u30,2015
LiHe,FrJo,
LaAh,LBP,2016
LaAh,SueTa,2015
AlBa,u30,2016
AlBa,GoeUn,2012
AlBa,UnHa,2015
AlBa,NDR,2015
LeDe,u30,2016
LeDe,UnBo,
LeDe,KoJo,
LeDe,jone,2015
LeDe,SZ,2016
LeDe,WiWo,2015
LeDe,ZDF,
LeDe,NDR,
LaDi,u30,2016
LaDi,HHU,2009
LaDi,KaJo,2012
LaDi,LBS,2012
LaDi,PWS,2014
LaDi,KDJ,2014
LaDi,ZDF,
LaDi,ARTE,
LaDi,3SAT,
SoFa,u30,2016
SoFa,DeJoSc,
SoFa,FrJo,
SoFa,DiZe,
SoFa,Vice,2016
GiFo,u30,2016
GiFo,UnEd,
GiFo,DPA,2016
GiFo,FrJo,2013
GiFo,UnOx,
GiFo,DPA,2014
DoTo,u30,2016
DoTo,MaeOd,2018
DoTo,NBR,2016
DoTo,SueP,
DoTo,ScZe,
DoTo,MaeOd,
DoTo,LaRu,
DoTo,AlRh,2016
DoTo,MaeOd,2011
DoTo,LeUn,2005
DoTo,KaJo,2011
TeSi,u30,2016
TeSi,TeUn,2007
TeSi,RBB,2011
TeSi,FrJo,2017
TeSi,DeFu,2014
TeSi,DeSp,2016
TeSi,FJS,2012
ThRe,UnKu,2012
ThRe,DPA,2020
ThRe,AxSp,2018
ThRe,WeN,2016
ThRe,FAZ,2014
ThRe,UnLe,2008
ThRe,MIFo,2014
ThRe,LeAw,2015
ThRe,EuNeAw,2015
ThRe,DpIgAw,2015
ThRe,DeRe,2015
ThRe,RiPr,2016
ThRe,NaPr,2016
ThRe,Welt,2015
ThRe,u30,2016
MiOl,UnKo,2005
MiOl,DeSp,2011
MiOl,KoJo,
MiOl,u30,2016
LeNi,ASP,2017
LeNi,DNt,2014
LeNi,HNP,2016
LeNi,GSP,2016
LeNi,AMP,2016
LeNi,u30,2016
LeNi,SZ,2015
LeNi,DeSp,
LeNi,TAZ,
LeNi,Corr,
MaMe,LeMe,
MaMe,FrUnBe,2007
MaMe,CoUn,2014
MaMe,u30,2016
MaMe,ASP,2014
MaMe,JOTY,2017
MaMe,WeN,2015
MaMe,FrJo,2016
LaGi,u30,2016
LaGi,UnKo,2007
LaGi,KoJo,
LaGi,WDR,2014
LaGi,PPG,2015
AnKaGe,DiZe,2014
AnKaGe,FrJo,2019
AnKaGe,Watson,2018
AnKaGe,DeSp,
AnKaGe,KoeSt,2011
AnKaGe,WDR,
AnKaGe,u30,2016
AnKaGe,TuDo,2009
AnKaGe,KoeSt,2011
JeBa,RKUn,2008
JeBa,HoMe,2014
JeBa,MuPr,2015
JeBa,u30,2017
AnKaBu,UnOl,
AnKaBu,UnGr,
AnKaBu,DeRa,2014
AnKaBu,NiMe,2014
AnKaBu,u30,2017
NiKl,UnMa,2008
NiKl,ElMeSc,2014
NiKl,KaMe,2015
NiKl,AmAw,2016
NiKl,u30,2017
LaKa,DPA,2014
LaKa,OFU,2011
LaKa,Kubu,
LaKa,u30,2017
GiNi,SZ,2014
GiNi,UnLu,
GiNi,FIVP,
GiNi,u30,
GiNi,KaJo,
JaOf,WYRP,
JaOf,SZ,2011
JaOf,u30,
JaOf,LMU,
JeBa,DeHaZe,2016
AnKaBu,DeFu,2014
AnKaBu,DeRa,2015
AnKaBu,FrJo,2021
NiKl,ElMeSc,2017
NiKl,ZDF,2017
NiKl,RBB,2015
NiKl,NDR,
NiKl,DeSp,
LaKa,DPA,
LaKa,BuIn,2019
GiNi,SZ,2014
