Id,name,company,location,position,type,or
25MeMa,Top25MedienmacherUnter35,KressPro,,,preis,
25Ne,Die25NewcomerDesJahres,KressPro,,,preis,
3SAT,3Sat,,,,employment,j
AKHi,AnnKathrinHipp,RadioEins,Berlin,FreieKommentatorin,person,
AKWe,AnnKathrinWetter,BayrischerRundfunk,Muenchen,Reporterin,person,
AlAg,AltanaAg,,Wesel,,employment,n
AlBa,AlexandraBauer,NDR,Hamburg,Moderatorin,person,
AlRh,AlexanderRhombergPreis,,,,preis,
AlSc,AlinaSchadwinkel,Zeit,Berlin,Wissenschaftsjournalistin,person,
AlZeLue,AllgemeinenZeitungderLueneburgerHeideinUelzen,,Lueneburg,,employment,n
AmAw,AmikoAward,,,,preis,
AmBe,AminataBelli,NorddeutscherRundfunk,Hamburg,FreieJournalistin,person,
AMD,AkademiefuerModeundDesign,,Hamburg,,education,
AmIn,AmnestyInternational,,London,,engagement,
AMP,AlternativerMedienPreis,SueddeutscheZeitung,Muenchen,,preis,
AMUK,AlbertusMagnusUniversitaetzuKoeln,,Koeln,,education,
AmUn,AmericanUniversity,,Washington,,education,
AmUnCa,TheAmericanUniversityinCairo,,Cairo,,education,
AmWe,AmelieMarieWeber,FunkeMediengruppe,Berlin,Redakteurin,person,
AnBi,AnnaBiselli,,,Informatikerin,person,
AnBr,AnnikaBrockschmidt,Zeit,Berlin,FreieJournalistin,person,
AnFe,AnnaFeist,ZweitesDeutscheFernsehen,Mainz,Reporterin,person,
AnGe,AngeliqueGeray,,,,person,
AnKaGe,AnneKathrinGerstlauer,DieZeit,Hamburg,Konzeption,person,
AnGr,AngelaGruber,,Hamburg,Auslandsreporterin,person,
AnKaBu,AnnKathrinBueuesker,Deutschlandfunk,Koeln,RedakteurinModeratorin,person,
AKHi,AnnKathrinHipp,RBB,Berlin,Kommentatorin,person,
AnMay,AnnaMayr,,Correctiv,FreieJournalistin,person,
AnMa,AntoniaMannweiler,FAZ,Frankfurt,Redakteurin,person,
AnPa,AnnaPaarmann,MedienhausLueneburg,Lueneburg,DigitalKoordinatorin,person,
AnPe,AnnaPetersen,LandeszeitungfuerdieLueneburgerHeide,,Pauschalistin,person,
AnRe,AnnaReuue,SueddeutscheZeitung,Muenchen,Redakteurin,person,
AnSe,AnettSelle,DieZeit,Hamburg,FreieJournalistin,person,
ARD,ArbeitsgemeinschaftDerOeffentlichRechtlichenRundfunkanstaltenDerBRD,,Berlin,,employment,j
ArStBr,ARDStudioBruessel,,Bruessel,,employment,j
ARTE,Arte,,Strassburg,,employment,j
ASP,AxelSpringerPreis,AxelSpringerAkademie,Berlin,,preis,
